LTCH_Num,homeType,ResCouncil,FamCouncil,Accreditation
2759,Non-Profit,Yes,Yes,Yes
2872,For-Profit,Yes,Yes,Yes
2861,For-Profit,Yes,Yes,Yes
M536,Municipal,Yes,Yes,Yes
2692,For-Profit,Yes,Yes,Yes
2786,For-Profit,Yes,No,Yes
2930,For-Profit,Yes,No,No
2756,Non-Profit,No,Yes,Yes
2715,For-Profit,Yes,Yes,Yes
2263,For-Profit,Yes,Yes,Yes
2830,For-Profit,Yes,No,Yes
2895,For-Profit,Yes,Yes,Yes
2581,For-Profit,Yes,Yes,Yes
2890,For-Profit,Yes,Yes,Yes
2901,For-Profit,Yes,No,Yes
M503,Municipal,Yes,Yes,Yes
M504,Municipal,Yes,Yes,Yes
2816,Non-Profit,Yes,Yes,Yes
2541,For-Profit,Yes,Yes,Yes
2687,Non-Profit,Yes,Yes,Yes
2938,For-Profit,Yes,Yes,Yes
2620,For-Profit,Yes,Yes,Yes
2641,For-Profit,Yes,No,No
2697,For-Profit,Yes,Yes,Yes
2613,For-Profit,Yes,Yes,Yes
M506,Municipal,Yes,Yes,Yes
2905,For-Profit,Yes,Yes,Yes
2788,For-Profit,Yes,No,Yes
2678,For-Profit,Yes,Yes,Yes
2301,For-Profit,Yes,Yes,Yes
M507,Municipal,Yes,No,No
2857,For-Profit,Yes,Yes,Yes
2953,For-Profit,Yes,Yes,Yes
2774,Non-Profit,Yes,Yes,No
2651,For-Profit,Yes,Yes,Yes
2472,For-Profit,Yes,Yes,Yes
M596,Municipal,Yes,Yes,Yes
2748,For-Profit,Yes,Yes,Yes
1160,For-Profit,Yes,Yes,Yes
2826,For-Profit,Yes,No,Yes
2603,For-Profit,Yes,Yes,Yes
2595,For-Profit,Yes,Yes,Yes
2701,For-Profit,Yes,No,Yes
2664,For-Profit,Yes,No,Yes
2730,For-Profit,Yes,No,Yes
2627,For-Profit,Yes,No,Yes
2916,For-Profit,Yes,Yes,Yes
M508,Municipal,Yes,Yes,Yes
2420,For-Profit,Yes,Yes,Yes
M509,Municipal,Yes,Yes,Yes
M510,Municipal,Yes,Yes,Yes
2912,For-Profit,Yes,Yes,Yes
2769,For-Profit,Yes,Yes,Yes
2591,For-Profit,Yes,Yes,Yes
2768,For-Profit,Yes,Yes,Yes
2903,For-Profit,Yes,No,Yes
M511,Municipal,Yes,Yes,Yes
2630,For-Profit,Yes,Yes,Yes
2740,For-Profit,Yes,No,Yes
2658,For-Profit,Yes,Yes,Yes
2900,For-Profit,Yes,Yes,Yes
2471,For-Profit,Yes,No,Yes
2556,For-Profit,Yes,No,Yes
2919,For-Profit,Yes,No,Yes
2632,For-Profit,Yes,No,Yes
2808,For-Profit,Yes,Yes,Yes
2939,For-Profit,Yes,Yes,Yes
2899,For-Profit,Yes,Yes,Yes
2908,For-Profit,Yes,Yes,Yes
2833,For-Profit,Yes,Yes,Yes
2943,For-Profit,Yes,Yes,Yes
2880,For-Profit,Yes,Yes,Yes
2583,For-Profit,Yes,Yes,Yes
2921,For-Profit,Yes,Yes,Yes
2888,For-Profit,No,Yes,Yes
2885,For-Profit,Yes,Yes,Yes
2712,For-Profit,Yes,Yes,Yes
2655,For-Profit,Yes,Yes,Yes
2970,Non-Profit,Yes,Yes,Yes
2721,For-Profit,Yes,Yes,Yes
2696,For-Profit,Yes,Yes,Yes
2781,For-Profit,Yes,Yes,No
2856,For-Profit,Yes,Yes,Yes
2124,For-Profit,Yes,Yes,Yes
2937,Non-Profit,Yes,Yes,No
1115,For-Profit,Yes,Yes,Yes
2576,For-Profit,Yes,Yes,Yes
2622,Non-Profit,Yes,Yes,No
2503,For-Profit,Yes,Yes,Yes
2633,For-Profit,Yes,Yes,Yes
M623,Municipal,Yes,Yes,Yes
2587,For-Profit,Yes,Yes,Yes
2787,For-Profit,Yes,Yes,Yes
M512,Municipal,Yes,Yes,Yes
M514,Municipal,Yes,Yes,Yes
M611,Municipal,Yes,No,Yes
2837,For-Profit,Yes,Yes,Yes
2660,For-Profit,Yes,No,Yes
2134,For-Profit,Yes,No,No
2794,Non-Profit,Yes,No,No
M604,Municipal,Yes,Yes,Yes
1056,For-Profit,Yes,Yes,Yes
1041,For-Profit,Yes,Yes,Yes
M516,Municipal,Yes,Yes,No
2674,Non-Profit,Yes,Yes,Yes
2739,For-Profit,Yes,Yes,Yes
2240,For-Profit,Yes,Yes,Yes
3047,For-Profit,Yes,Yes,Yes
M517,Municipal,Yes,Yes,No
2468,For-Profit,Yes,Yes,Yes
2777,For-Profit,Yes,Yes,Yes
2963,Non-Profit,Yes,Yes,Yes
2804,Non-Profit,Yes,Yes,No
2725,For-Profit,Yes,No,Yes
M518,Municipal,Yes,Yes,No
2869,For-Profit,Yes,Yes,Yes
2868,For-Profit,Yes,Yes,Yes
2515,For-Profit,Yes,No,Yes
2662,For-Profit,Yes,Yes,Yes
2736,For-Profit,Yes,Yes,Yes
2513,For-Profit,Yes,Yes,Yes
2749,For-Profit,Yes,No,Yes
2460,For-Profit,Yes,Yes,Yes
2847,For-Profit,Yes,Yes,Yes
2851,For-Profit,Yes,Yes,Yes
2590,For-Profit,Yes,Yes,Yes
2164,For-Profit,Yes,Yes,Yes
2892,For-Profit,Yes,Yes,Yes
2858,For-Profit,Yes,Yes,Yes
2610,For-Profit,Yes,Yes,Yes
2838,For-Profit,Yes,No,Yes
2616,For-Profit,Yes,Yes,Yes
2670,For-Profit,Yes,Yes,Yes
2843,For-Profit,Yes,Yes,Yes
2665,For-Profit,Yes,Yes,Yes
2173,For-Profit,Yes,Yes,Yes
3043,For-Profit,Yes,Yes,Yes
2579,For-Profit,Yes,No,Yes
2884,For-Profit,Yes,Yes,Yes
2302,For-Profit,Yes,No,Yes
2439,For-Profit,Yes,Yes,Yes
2669,For-Profit,Yes,Yes,Yes
2883,For-Profit,Yes,Yes,Yes
2117,For-Profit,Yes,Yes,Yes
2842,For-Profit,Yes,Yes,Yes
2321,For-Profit,Yes,Yes,Yes
2485,For-Profit,Yes,Yes,Yes
2904,For-Profit,Yes,Yes,Yes
3044,For-Profit,Yes,Yes,Yes
2615,For-Profit,Yes,Yes,Yes
2709,For-Profit,Yes,Yes,Yes
2604,For-Profit,Yes,Yes,Yes
2936,Non-Profit,Yes,Yes,Yes
2936,Non-Profit,Yes,Yes,Yes
2823,For-Profit,Yes,No,No
M520,Municipal,Yes,Yes,Yes
M521,Municipal,Yes,No,Yes
M522,Municipal,Yes,Yes,Yes
2723,For-Profit,Yes,Yes,Yes
2745,Non-Profit,Yes,Yes,Yes
2850,For-Profit,Yes,Yes,Yes
2673,For-Profit,Yes,Yes,Yes
2906,For-Profit,Yes,Yes,Yes
2829,For-Profit,Yes,Yes,Yes
2707,For-Profit,Yes,Yes,Yes
2834,For-Profit,Yes,Yes,Yes
2625,For-Profit,Yes,Yes,Yes
2836,For-Profit,Yes,Yes,Yes
2570,For-Profit,Yes,Yes,Yes
2940,Non-Profit,Yes,Yes,No
2746,For-Profit,Yes,Yes,Yes
2602,For-Profit,Yes,Yes,Yes
M524,Municipal,Yes,Yes,Yes
2364,For-Profit,Yes,Yes,Yes
1133,For-Profit,Yes,Yes,No
