LTCH_Num,Annual_Orders,Annual_Non-compliance,Targeted_Inspect_Num,Targeted_Orders,Targeted_Non-compliance
2759,2,12,1,5,1
2872,0,2,0,1,2
2983,5,22,1,2,2
2861,0,6,0,0,0
M536,1,8,0,0,0
2692,0,5,1,3,4
2786,0,14,0,3,1
2756,0,7,0,0,0
2715,2,11,8,13,1
2263,0,3,0,3,3
2830,0,4,0,0,0
2895,0,0,0,3,2
2581,0,1,0,0,3
2890,1,18,10,11,5
2985,1,5,0,0,0
2901,0,8,0,0,1
M503,1,7,1,10,4
M504,0,8,0,0,0
2816,0,6,0,0,0
2541,0,0,0,19,6
2687,1,10,0,0,0
2986,1,10,0,0,0
2938,2,15,0,0,0
2641,6,22,0,0,1
2697,2,11,1,2,2
2987,0,7,0,0,0
2613,0,8,0,0,0
M506,0,8,0,0,0
2905,1,16,0,0,1
2788,1,4,0,0,0
2678,1,9,0,0,0
2301,0,3,0,0,0
M507,5,21,0,0,0
2857,0,7,0,0,0
2953,1,13,0,0,0
2774,1,16,0,3,2
2651,0,2,1,2,4
2472,1,10,0,1,2
M596,0,6,0,0,0
2748,0,0,0,0,0
1160,0,0,0,0,2
2826,0,3,0,0,0
2603,5,15,5,6,2
2595,0,1,0,0,0
2701,0,1,0,5,2
2664,3,7,3,5,3
2730,0,0,0,0,0
2627,1,10,1,2,1
2916,0,0,0,2,4
M508,0,8,0,3,4
2420,0,11,3,19,11
M509,0,0,0,0,0
M510,0,2,0,8,2
2912,0,5,2,4,2
2769,1,13,0,0,0
2591,0,4,0,2,1
2768,3,22,5,7,4
2903,0,2,0,0,1
M511,1,19,2,23,7
2988,1,16,0,0,0
2630,0,7,0,0,0
2740,1,12,0,0,0
2658,0,4,1,12,6
2900,0,11,0,0,0
2471,0,0,0,0,0
2556,0,2,0,0,0
2919,0,2,0,0,0
2632,1,3,0,0,0
2808,0,4,0,0,0
2939,0,2,0,1,1
2899,1,7,0,0,0
2908,0,4,2,6,3
2833,0,0,0,8,2
2943,0,7,0,0,0
2880,1,2,0,1,1
2583,0,1,0,0,0
2921,4,17,0,1,2
2888,1,4,2,12,3
2885,0,11,0,3,2
2712,0,0,0,0,0
2655,0,2,1,15,6
2970,0,0,0,0,0
2721,1,6,0,0,2
2696,0,5,0,0,0
2781,0,5,0,0,0
2856,0,4,0,0,0
2124,1,12,0,0,2
2937,1,4,0,3,2
1115,0,0,2,5,1
2576,0,2,0,5,2
2622,0,3,0,7,2
2503,3,21,1,5,5
2633,0,2,0,0,0
M623,0,4,0,3,1
2587,0,6,0,4,3
2787,0,1,0,0,2
M512,0,0,0,0,0
M514,0,3,0,1,1
M611,0,5,0,0,0
2837,2,16,0,2,1
2660,1,5,3,4,2
2134,0,1,0,0,0
2794,1,8,0,0,1
M604,0,2,0,0,0
1056,1,7,2,8,5
M516,0,8,0,0,0
2674,0,7,0,1,1
2739,3,12,3,22,5
2240,0,3,0,0,0
3047,0,0,9,26,9
M517,0,2,0,5,2
2468,0,12,0,0,0
2777,0,3,0,0,0
2963,5,14,1,10,2
2804,0,0,0,0,0
2725,0,0,0,0,0
M518,0,3,0,0,0
2869,0,11,0,0,0
2868,3,11,1,2,1
2515,0,1,0,0,0
2662,5,14,0,0,0
2736,0,4,2,3,4
2749,0,7,0,0,0
2460,0,8,0,0,0
2847,0,8,1,3,3
2851,0,5,0,3,2
2590,2,7,4,10,7
2164,1,6,0,0,0
2892,3,23,0,2,1
2858,0,8,0,2,3
2610,0,7,0,0,1
2838,0,3,1,8,1
2616,0,3,0,1,1
2670,0,3,0,0,0
2843,0,0,0,0,0
2665,0,11,3,17,7
2173,0,0,0,1,1
3043,2,8,6,14,3
2579,1,4,1,6,2
2884,0,12,0,0,0
2302,0,2,0,5,3
2439,0,5,0,4,5
2669,0,3,0,0,0
2883,0,2,0,0,0
2117,1,5,0,0,0
2842,0,2,0,3,3
2321,0,0,0,1,2
2485,0,0,1,9,5
2904,0,4,0,2,2
3044,2,21,0,0,0
2615,0,1,0,1,1
2709,0,9,0,3,6
2604,1,19,1,4,3
2936,0,12,0,0,0
2936,0,12,0,0,0
2823,0,3,0,0,0
M520,0,5,0,2,2
M521,0,3,0,1,2
M522,2,13,0,7,5
2992,0,0,1,3,2
2723,0,5,0,0,0
2745,0,0,0,0,2
2850,0,5,0,0,0
2673,0,7,0,0,0
2906,0,2,1,1,1
2829,0,8,0,0,1
2707,2,9,0,4,2
2834,0,10,0,0,3
2625,0,0,0,0,0
2836,0,3,0,0,0
2570,0,0,0,2,1
2940,0,7,0,0,0
2746,0,0,0,0,1
2602,0,3,0,2,2
M524,0,8,1,1,1
2364,0,0,0,0,0
1133,2,12,0,0,0
2882,0,11,0,2,4
2961,0,4,0,0,2
M622,0,11,2,19,15
M526,2,8,0,0,0
M527,1,9,0,2,1
2764,0,5,0,0,0
M528,0,2,0,0,0
2811,0,0,0,4,2
M529,0,3,0,0,1
2605,0,0,1,6,4
2705,1,2,0,0,0
M530,0,8,0,0,0
M531,0,0,1,10,6
1033,6,14,0,3,2
2942,0,0,0,0,0
2741,3,21,0,3,2
M532,1,8,0,8,5
2879,0,2,0,4,2
3023,0,0,0,0,1
2950,3,7,0,6,2
2646,0,0,1,2,1
2846,1,12,1,1,1
2720,1,10,0,3,4
2832,0,3,0,0,0
2732,1,3,0,0,0
M538,0,12,0,6,9
2887,1,7,0,0,0
2586,1,7,8,31,5
2088,0,8,0,4,2
2960,0,2,0,1,1
2728,0,3,0,3,3
2798,0,0,0,0,0
2941,2,6,0,1,1
3045,0,2,0,0,1
2776,2,15,2,2,2
2898,0,2,0,1,2
3029,0,5,0,0,0
M539,0,0,2,10,2
M630,0,1,0,2,2
1975,0,8,0,0,0
2923,0,0,15,49,11
2639,0,7,0,7,2
2716,0,0,0,0,1
M631,0,7,0,1,2
3050,0,0,0,0,0
2931,0,0,1,1,1
2129,0,7,2,9,3
3034,0,9,0,6,3
2993,1,2,0,2,1
3031,0,3,1,2,2
M544,0,9,0,0,0
2654,0,1,0,0,0
2729,0,0,0,2,2
1866,0,4,0,0,0
2113,0,3,0,0,0
M545,0,9,1,4,2
2996,0,4,0,0,0
2997,0,0,0,0,0
2860,0,5,0,0,0
2958,0,0,0,0,0
M595,0,3,0,0,0
2929,0,3,0,0,0
M546,0,3,0,0,0
M547,0,11,2,3,1
2917,0,1,0,0,0
M548,0,6,0,3,4
2680,0,8,0,0,0
2907,0,6,0,0,0
2358,2,9,1,3,1
2835,4,10,2,12,2
3035,0,0,0,0,0
M549,2,6,0,2,1
M551,1,9,0,1,2
2845,0,1,0,0,2
M552,1,8,1,4,3
2825,0,11,0,3,1
2611,0,4,0,0,0
2589,0,2,0,0,0
M618,7,12,0,0,0
2667,0,0,0,0,0
2867,0,0,1,12,6
